日本,92.2998502263175,neg,2,ns
这,87.23729867204702,neg,1,r
极度,83.51702667834954,neg,2,d
现在,82.38235905775211,neg,2,t
只能,81.39178060667555,neg,2,v
都,80.94547015822057,neg,1,d
时候,79.59569626549685,neg,2,n
封城,79.11868831473288,neg,2,nr
造成,78.60524041670138,neg,2,v
是,78.39870040465115,neg,1,v
太,77.99906718175043,neg,1,d
知道,77.08175384334325,neg,2,v
病毒,76.8103511203582,neg,2,n
不,76.06637550063446,neg,1,d
现实,75.89082323685543,neg,2,n
更,73.7371854748315,neg,1,d
这个,73.68944150449713,neg,2,r
拼命,73.61531153443113,neg,2,v
我,73.33801612426895,neg,1,r
爆发,72.3615508380928,neg,2,v
死,71.75341249758684,neg,1,v
美国,71.47974557640629,neg,2,ns
突然,71.34118478030948,neg,2,ad
这么,70.73646514036214,neg,2,r
报道,70.05474771207895,neg,2,v
没,69.9629708445548,neg,1,v
导致,69.90859231509093,neg,2,v
相似,69.39853751121123,neg,2,v
也,68.8609976619996,neg,1,d
因为,68.20532056002773,neg,2,c
真的,67.78961936712103,neg,2,d
大,67.32845863324874,neg,1,a
说,67.32109630054603,neg,1,v
求救,67.04889708051593,neg,2,v
真是,66.96122239927841,neg,2,d
民众,66.75466640081683,neg,2,n
还是,66.73063969888301,neg,2,c
早上,66.5831107105796,neg,2,t
已经,66.02376555847371,neg,2,d
可是,65.45101326585171,neg,2,c
之下,65.09637728678965,neg,2,f
那些,64.65529839353331,neg,2,r
人数,62.68610082990948,neg,2,n
希望,62.45740217151345,neg,2,v
又,62.357053917776554,neg,1,d
让,62.31304096908347,neg,1,v
极其,61.88199647651888,neg,2,d
行业,61.60233878908946,neg,2,n
很,61.542823365245546,neg,1,zg
严重,61.332399779181344,neg,2,a
和,61.2143697827338,neg,1,c
那个,61.068238117735056,neg,2,r
航母,60.61946770688022,neg,2,n
心痛,60.55586761560929,neg,2,n
邮报,60.51240426825215,neg,2,n
法律,60.29562183790227,neg,2,n
越来越,60.08949269544797,neg,3,d
就,60.07952784029334,neg,1,d
而,59.98935590317069,neg,1,c
如今,59.90185768831867,neg,2,t
依然,59.833603988865896,neg,2,d
政府,59.700063427654165,neg,2,n
各种,59.125159418810036,neg,2,r
且,58.947582898039926,neg,1,zg
肆虐,58.73190858962846,neg,2,v
被困,58.44843309685581,neg,2,a
放松,58.40987814746597,neg,2,v
不足,58.397872802621244,neg,2,a
啊,58.171703920457006,neg,1,zg
影响,57.968277900895615,neg,2,vn
好,57.87072822119468,neg,1,a
误导,57.71780363809857,neg,2,n
下,57.706413802232305,neg,1,f
心里,57.39209024949225,neg,2,s
反,57.351234992645956,neg,1,zg
感,57.19640924497857,neg,1,v
巨大,57.133410705672034,neg,2,a
所以,57.12372349294826,neg,2,c
情绪,57.074585249656195,neg,2,n
人类,56.953957570963446,neg,2,n
只是,56.594891204542,neg,2,c
铺天盖地,56.51471573630499,neg,4,i
吧,56.506381869465955,neg,1,y
感到,56.10416455649167,neg,2,v
少女,56.012482127314996,neg,2,n
还,55.99244270705711,neg,1,d
我们,55.92618760797666,neg,2,r
居然,55.88446899363517,neg,2,d
加剧,55.86740580856587,neg,2,v
蔓延,55.75317128559471,neg,2,v
他们,55.561232838078354,neg,2,r
大家,55.555611063068824,neg,2,n
时刻,55.26867876658272,neg,2,n
陷入,55.21591109144293,neg,2,v
更是,54.98324725125518,neg,2,d
再度,54.94179999618383,neg,2,d
人们,54.898901796310994,neg,2,n
最近,54.74725123116174,neg,2,f
医疗系统,54.60771469295999,neg,4,n
看到,54.56048653752766,neg,2,v
但是,54.38870381206867,neg,2,c
真实,54.05589362430323,neg,2,d
遭受,53.83703032314251,neg,2,v
正月,53.747863349453844,neg,2,t
不好,53.54600253279814,neg,2,d
害,53.25506859203573,neg,1,v
那样,53.17007336866928,neg,2,r
令,53.1621780551333,neg,1,v
受,52.94204365309039,neg,1,v
悲剧,52.79342730377799,neg,2,n
没什么,52.780557799077364,neg,3,l
人,52.44952622066252,neg,1,n
甚至,52.44592220551796,neg,2,d
假如,52.44155260233658,neg,2,c
叫,52.31885603433872,neg,1,v
有,52.257669745181374,neg,1,v
原因,52.17200631733503,neg,2,n
身上,52.09004302761083,neg,2,s
全国,51.91593541822209,neg,2,n
事件,51.794652453062625,neg,2,n
去,51.55821010077198,neg,1,v
纽约,51.539936400581475,neg,2,ns
之后,51.43168407629891,neg,2,f
罗斯福,51.339996152156004,neg,3,nr
里,51.31597795353388,neg,1,f
没有,51.150418121211935,neg,2,v
事情,51.107226876934796,neg,2,n
口罩,51.08682098895046,neg,2,n
别人,50.9667797330669,neg,2,r
出门,50.920971793333,neg,2,v
吃,50.908292475119104,neg,1,v
害怕,50.85307906578712,neg,2,v
绝望,50.734629159897224,neg,2,v
什么,50.636848771407784,neg,2,r
最,50.443939617499,neg,1,d
使得,50.40065207764127,neg,2,v
恐慌,50.37005164119202,neg,2,an
重灾区,50.36046053922072,neg,3,n
感觉,50.27512886820395,neg,2,n
不能,50.207218842536435,neg,2,v
订购,49.988950432258555,neg,2,v
九年,49.957443257857925,neg,2,t
可能,49.95354619071754,neg,2,v
约翰,49.94831680327813,neg,2,nrt
他,49.9102574840356,neg,1,r
唉,49.87828918901732,neg,1,zg
担忧,49.86108207078898,neg,2,v
传人,49.75928642055853,neg,2,n
小冠,49.68462340749829,neg,2,nr
疫情,49.682376240980375,neg,2,n
严峻,49.68149168029565,neg,2,a
明明,49.53469803639129,neg,2,t
地震,49.504708225941044,neg,2,n
扩散,49.37326589924659,neg,2,v
